,id,station,date,prcp,tobs
309,7300,USC00514830,2016-07-12,0.03,80.0
310,8800,USC00517948,2016-07-12,,80.0
311,11811,USC00519523,2016-07-12,0.0,80.0
312,14566,USC00519281,2016-07-12,0.0,80.0
313,19162,USC00516128,2016-07-12,0.03,75.0
314,2321,USC00519397,2016-07-11,0.0,72.0
315,5048,USC00513117,2016-07-11,0.11,73.0
316,7299,USC00514830,2016-07-11,0.0,80.0
317,8799,USC00517948,2016-07-11,,78.0
318,11810,USC00519523,2016-07-11,0.07,78.0
319,14565,USC00519281,2016-07-11,0.14,79.0
320,19161,USC00516128,2016-07-11,0.11,72.0
321,2320,USC00519397,2016-07-10,0.02,78.0
322,5047,USC00513117,2016-07-10,0.14,75.0
323,7298,USC00514830,2016-07-10,0.12,77.0
324,11809,USC00519523,2016-07-10,0.37,78.0
325,14564,USC00519281,2016-07-10,0.63,72.0
326,19160,USC00516128,2016-07-10,1.15,76.0
327,2319,USC00519397,2016-07-09,0.0,80.0
328,5046,USC00513117,2016-07-09,0.0,76.0
329,7297,USC00514830,2016-07-09,0.0,81.0
330,11808,USC00519523,2016-07-09,0.0,78.0
331,14563,USC00519281,2016-07-09,0.04,80.0
332,19159,USC00516128,2016-07-09,0.15,71.0
333,2318,USC00519397,2016-07-08,0.0,80.0
334,5045,USC00513117,2016-07-08,0.03,76.0
335,7296,USC00514830,2016-07-08,0.05,78.0
336,8798,USC00517948,2016-07-08,,80.0
337,11807,USC00519523,2016-07-08,0.01,80.0
338,14562,USC00519281,2016-07-08,0.02,78.0
339,19158,USC00516128,2016-07-08,0.31,73.0
340,2317,USC00519397,2016-07-07,0.01,80.0
341,5044,USC00513117,2016-07-07,0.05,75.0
342,7295,USC00514830,2016-07-07,0.19,77.0
343,8797,USC00517948,2016-07-07,,78.0
344,11806,USC00519523,2016-07-07,0.02,80.0
345,14561,USC00519281,2016-07-07,0.14,73.0
346,19157,USC00516128,2016-07-07,0.92,73.0
347,2316,USC00519397,2016-07-06,0.02,78.0
348,5043,USC00513117,2016-07-06,0.49,74.0
349,7294,USC00514830,2016-07-06,0.2,77.0
350,8796,USC00517948,2016-07-06,,78.0
351,11805,USC00519523,2016-07-06,0.1,76.0
352,14560,USC00519281,2016-07-06,0.8,74.0
353,19156,USC00516128,2016-07-06,1.46,71.0
354,2315,USC00519397,2016-07-05,0.02,78.0
355,5042,USC00513117,2016-07-05,0.05,75.0
356,7293,USC00514830,2016-07-05,0.0,79.0
357,8795,USC00517948,2016-07-05,,77.0
358,11804,USC00519523,2016-07-05,0.12,76.0
359,14559,USC00519281,2016-07-05,0.22,75.0
360,19155,USC00516128,2016-07-05,0.45,71.0
361,2314,USC00519397,2016-07-04,0.04,79.0
362,5041,USC00513117,2016-07-04,0.14,76.0
363,7292,USC00514830,2016-07-04,,79.0
364,11803,USC00519523,2016-07-04,0.03,81.0
365,14558,USC00519281,2016-07-04,0.27,79.0
366,19154,USC00516128,2016-07-04,,74.0
367,2313,USC00519397,2016-07-03,0.0,77.0
368,5040,USC00513117,2016-07-03,0.0,77.0
369,11802,USC00519523,2016-07-03,0.17,76.0
370,14557,USC00519281,2016-07-03,0.03,76.0
371,2312,USC00519397,2016-07-02,0.0,79.0
372,5039,USC00513117,2016-07-02,0.0,77.0
373,11801,USC00519523,2016-07-02,,82.0
374,14556,USC00519281,2016-07-02,0.0,79.0
375,2311,USC00519397,2016-07-01,0.0,79.0
376,5038,USC00513117,2016-07-01,0.0,76.0
377,7291,USC00514830,2016-07-01,0.0,78.0
378,8794,USC00517948,2016-07-01,,80.0
379,14555,USC00519281,2016-07-01,0.0,76.0
380,19153,USC00516128,2016-07-01,,74.0
381,1975,USC00519397,2015-07-31,0.0,80.0
382,8604,USC00517948,2015-07-31,,83.0
383,11492,USC00519523,2015-07-31,0.0,79.0
384,14220,USC00519281,2015-07-31,0.01,77.0
385,16895,USC00511918,2015-07-31,0.0,82.0
386,18842,USC00516128,2015-07-31,0.11,75.0
387,1974,USC00519397,2015-07-30,0.0,82.0
388,6999,USC00514830,2015-07-30,0.01,80.0
389,8603,USC00517948,2015-07-30,,83.0
390,11491,USC00519523,2015-07-30,0.0,82.0
391,14219,USC00519281,2015-07-30,0.0,74.0
392,16894,USC00511918,2015-07-30,,78.0
393,18841,USC00516128,2015-07-30,0.06,75.0
394,1973,USC00519397,2015-07-29,0.0,82.0
395,6998,USC00514830,2015-07-29,0.0,81.0
396,11490,USC00519523,2015-07-29,0.0,81.0
397,14218,USC00519281,2015-07-29,0.02,77.0
